Meal_Name,Goal_Encoded,Diet_Encoded,Slot_Encoded
2 Poached Eggs with Spinach,0,0,0
Greek Yogurt with Berries,0,0,0
Green Tea & Apple,0,0,1
Celery with 1tbsp Hummus,0,0,1
Grilled Turkey Breast Salad,0,0,2
Tuna Salad (No Mayo) Wrap,0,0,2
Edamame Beans,0,0,3
Carrot Sticks,0,0,3
Baked Cod with Zucchini,0,0,4
Lean Beef Stir-fry (No Oil),0,0,4
4 Whole Eggs & 2 Toast,1,0,0
Oatmeal with Whole Milk & Honey,1,0,0
Protein Shake & Banana,1,0,1
Handful of Mixed Nuts,1,0,1
Double Chicken Breast & Rice,1,0,2
Steak & Sweet Potato,1,0,2
Peanut Butter & Jelly Sandwich,1,0,3
Greek Yogurt with Granola,1,0,3
10oz Salmon with Quinoa,1,0,4
Large Pasta with Meat Sauce,1,0,4
2 Scrambled Eggs & Fruit,2,0,0
Avocado Toast,2,0,0
Apple & Almonds,2,0,1
Cheese Stick,2,0,1
Chicken Caesar Wrap,2,0,2
Turkey & Swiss Sandwich,2,0,2
Trail Mix,2,0,3
Hard Boiled Egg,2,0,3
Grilled Chicken & Broccoli,2,0,4
Pork Tenderloin & Green Beans,2,0,4
Egg White Omelet with Spinach,0,1,0
Cottage Cheese & Pineapple,0,1,0
Black Coffee & Berries,0,1,1
Cucumber Slices & Lemon,0,1,1
Large Mixed Salad with Feta,0,1,2
Lentil Soup,0,1,2
Roasted Chickpeas,0,1,3
String Cheese,0,1,3
Grilled Portobello Mushrooms,0,1,4
Paneer Tikka (Low Fat),0,1,4
3 Whole Eggs & Oatmeal,1,1,0
Protein Pancakes,1,1,0
Whey Shake & Banana,1,1,1
Large Bowl of Walnuts,1,1,1
Black Bean & Quinoa Bowl,1,1,2
Chickpea Curry & Rice,1,1,2
Peanut Butter Toast,1,1,3
Mass Gainer Shake,1,1,3
Lentil Pasta & Garlic Bread,1,1,4
Large Cheese Pizza Slice,1,1,4
Avocado Toast with 1 Egg,2,1,0
Greek Yogurt & Honey,2,1,0
Apple,2,1,1
Handful of Almonds,2,1,1
Veggie Wrap with Cheese,2,1,2
Caprese Salad,2,1,2
Carrot Sticks & Hummus,2,1,3
Yogurt Cup,2,1,3
Eggplant Parmesan,2,1,4
Vegetable Stir Fry & Tofu,2,1,4
Egg Whites & Turkey Bacon,0,2,0
Low-Carb Protein Shake,0,2,0
Boiled Egg Whites,0,2,1
Celery Sticks,0,2,1
Grilled Chicken Breast Salad,0,2,2
Tuna on Greens,0,2,2
Protein Water,0,2,3
Beef Jerky (Low Sugar),0,2,3
Baked White Fish,0,2,4
Shrimp Skewers & Asparagus,0,2,4
6 Scrambled Eggs,1,2,0
Steak & Eggs,1,2,0
Double Scoop Whey Shake,1,2,1
Cottage Cheese & Nuts,1,2,1
12oz Chicken Breast & Pasta,1,2,2
Double Lean Beef Burger,1,2,2
Protein Bar & Milk,1,2,3
Peanut Butter & Beef Jerky,1,2,3
12oz Salmon Filet & Rice,1,2,4
Large Sirloin Steak & Potato,1,2,4
3 Eggs & Toast,2,2,0
Greek Yogurt,2,2,0
Protein Shake,2,2,1
Apple & Jerky,2,2,1
Chicken Wrap,2,2,2
Turkey Sandwich,2,2,2
Handful of Almonds,2,2,3
Protein Bar,2,2,3
Grilled Chicken & Veggies,2,2,4
Lean Pork Chops,2,2,4
Tofu Scramble with Spinach,0,3,0
Chia Seed Pudding,0,3,0
Green Tea & Apple,0,3,1
Cucumber Slices,0,3,1
Large Salad with Chickpeas,0,3,2
Zucchini Noodles & Vegan Pesto,0,3,2
Edamame,0,3,3
Roasted Pumpkin Seeds,0,3,3
Grilled Eggplant Steaks,0,3,4
Cauliflower Rice Stir-fry,0,3,4
Oatmeal with Peanut Butter & Chia,1,3,0
Vegan Protein Pancakes,1,3,0
Vegan Mass Gainer Shake,1,3,1
Large Bowl Mixed Nuts,1,3,1
Quinoa Black Bean Avocado Bowl,1,3,2
Lentil & Sweet Potato Curry,1,3,2
Bagel with Almond Butter,1,3,3
Trail Mix with Dried Fruit,1,3,3
Beyond Meat Burger & Fries,1,3,4
Lentil Pasta with Rich Marinara,1,3,4
Avocado Toast (No Egg),2,3,0
Overnight Oats with Soy Milk,2,3,0
Apple & Walnuts,2,3,1
Rice Cake & Hummus,2,3,1
Vegan BLT (Tempeh Bacon),2,3,2
Chickpea Salad Sandwich,2,3,2
Vegan Protein Bar,2,3,3
Carrot Sticks & Guacamole,2,3,3
Baked Tofu & Brown Rice,2,3,4
Vegan Chili,2,3,4
