Exercise,Muscle,Type,Goal_Encoded,Sets,Reps
Bench Press,Chest,compound,1,4,6-8
Incline Bench Press,Chest,compound,1,4,8
Cable Crossover,Chest,isolation,1,3,12
Pec Deck Fly,Chest,isolation,1,3,12

Pull Ups,Back,compound,1,4,6-8
Barbell Row,Back,compound,1,4,8
Lat Pulldown,Back,compound,1,4,10
Face Pull,Back,isolation,1,3,12

Squat (Barbell),Legs,compound,1,4,6-8
Leg Press,Legs,compound,1,4,10
Romanian Deadlift,Legs,compound,1,4,8
Leg Curl,Legs,isolation,1,3,12
Calf Raises,Legs,isolation,1,4,15
Push Ups,Chest,compound,2,3,12
Dumbbell Press,Chest,compound,2,3,10
Lat Pulldown,Back,compound,2,3,10
Seated Cable Row,Back,compound,2,3,10
Goblet Squat,Legs,compound,2,3,12
Lunges,Legs,compound,2,3,12
Dumbbell Shoulder Press,Shoulders,compound,2,3,10
Lateral Raises,Shoulders,isolation,2,3,12
Hammer Curl,Arms,isolation,2,3,12
Overhead Tricep Ext,Arms,isolation,2,3,12
Plank,Core,isolation,2,3,30sec
Russian Twists,Core,isolation,2,3,20
Jump Rope,Cardio,cardio,2,15min,NA
Overhead Press,Shoulders,compound,1,4,8
Arnold Press,Shoulders,compound,1,4,8
Lateral Raises,Shoulders,isolation,1,3,12
Rear Delt Fly,Shoulders,isolation,1,3,12

Barbell Curl,Arms,isolation,1,3,10
Hammer Curl,Arms,isolation,1,3,12
Tricep Pushdown,Arms,isolation,1,3,12
Skullcrushers,Arms,isolation,1,3,10

Bench Press,Chest,compound,0,3,12
Push Ups,Chest,compound,0,3,15
Dumbbell Press,Chest,compound,0,3,12

Jump Rope,Cardio,cardio,0,20min,NA
Burpees,Cardio,cardio,0,3,15
Mountain Climbers,Cardio,cardio,0,3,20




Bench Press,Chest,compound,1,4,6-8
Incline Bench Press,Chest,compound,1,4,8
Cable Crossover,Chest,isolation,1,3,12
Pec Deck Fly,Chest,isolation,1,3,12
Push Ups,Chest,compound,2,3,12
Dumbbell Press,Chest,compound,2,3,10

Pull Ups,Back,compound,1,4,6-8
Barbell Row,Back,compound,1,4,8
Lat Pulldown,Back,compound,1,4,10
Face Pull,Back,isolation,1,3,12
Seated Cable Row,Back,compound,2,3,10

Squat (Barbell),Legs,compound,1,4,6-8
Leg Press,Legs,compound,1,4,10
Romanian Deadlift,Legs,compound,1,4,8
Leg Curl,Legs,isolation,1,3,12
Goblet Squat,Legs,compound,2,3,12
Lunges,Legs,compound,2,3,12
Calf Raises,Legs,isolation,1,4,15

Overhead Press,Shoulders,compound,1,4,8
Arnold Press,Shoulders,compound,1,4,8
Lateral Raises,Shoulders,isolation,1,3,12
Rear Delt Fly,Shoulders,isolation,1,3,12
Dumbbell Shoulder Press,Shoulders,compound,2,3,10

Barbell Curl,Arms,isolation,1,3,10
Hammer Curl,Arms,isolation,1,3,12
Tricep Pushdown,Arms,isolation,1,3,12
Skullcrushers,Arms,isolation,1,3,10
Overhead Tricep Ext,Arms,isolation,2,3,12

Plank,Core,isolation,2,3,30sec
Crunches,Core,isolation,2,3,20
Russian Twists,Core,isolation,2,3,20

Burpees,Cardio,cardio,0,3,15
Mountain Climbers,Cardio,cardio,0,3,20
Jump Rope,Cardio,cardio,0,15min,NA
Jumping Jacks,Cardio,cardio,0,3,25


Bench Press,Chest,compound,1,4,6-8
Incline Bench Press,Chest,compound,1,4,8
Cable Crossover,Chest,isolation,1,3,12
Pec Deck Fly,Chest,isolation,1,3,12
Push Ups,Chest,compound,2,3,12
Dumbbell Press,Chest,compound,2,3,10
Chest Fly (Dumbbell),Chest,isolation,2,3,12

Pull Ups,Back,compound,1,4,6-8
Barbell Row,Back,compound,1,4,8
Lat Pulldown,Back,compound,1,4,10
Seated Cable Row,Back,compound,2,3,10
Face Pull,Back,isolation,1,3,12
Shrugs,Back,isolation,2,3,12

Squat (Barbell),Legs,compound,1,4,6-8
Leg Press,Legs,compound,1,4,10
Romanian Deadlift,Legs,compound,1,4,8
Goblet Squat,Legs,compound,2,3,12
Lunges,Legs,compound,2,3,12
Leg Curl,Legs,isolation,1,3,12
Calf Raises,Legs,isolation,1,4,15

Overhead Press,Shoulders,compound,1,4,8
Arnold Press,Shoulders,compound,1,4,8
Dumbbell Shoulder Press,Shoulders,compound,2,3,10
Lateral Raises,Shoulders,isolation,1,3,12
Rear Delt Fly,Shoulders,isolation,1,3,12

Barbell Curl,Arms,isolation,1,3,10
Hammer Curl,Arms,isolation,1,3,12
Tricep Pushdown,Arms,isolation,1,3,12
Skullcrushers,Arms,isolation,1,3,10
Overhead Tricep Ext,Arms,isolation,2,3,12

Plank,Core,isolation,2,3,30sec
Crunches,Core,isolation,2,3,20
Russian Twists,Core,isolation,2,3,20
Leg Raises,Core,isolation,2,3,15

Burpees,Cardio,cardio,0,3,15
Jump Rope,Cardio,cardio,0,15min,NA
Mountain Climbers,Cardio,cardio,0,3,20
Jumping Jacks,Cardio,cardio,0,3,25
